Round,Circuit,Track Length [km],Total Turning [deg],Turning Density [deg/km],Lateral G-Weighted Turning Density [G-deg/km],Rank
6,Monte Carlo,3.2533618609586066,1780.7106890715847,547.3447975279628,1115.5682376241746,1
2,Shanghai,5.412746468650819,1886.312276034409,348.4944818604429,943.8423699618197,2
7,Barcelona,4.591187912921331,1474.6693585923133,321.19560047673906,928.5607634886868,3
4,Miami Gardens,5.330363776688379,1632.5488562831777,306.2734411153903,737.2512192935444,4
3,Suzuka,5.753442636056552,1726.062116892772,300.0050971353434,918.9291739169238,5
9,Silverstone,5.806580892764352,1603.333252894339,276.1234679245184,761.9331606048208,6
5,Montréal,4.297325102553125,1136.4790565738579,264.4619686554907,541.4946789184372,7
1,Melbourne,5.21984533876873,1269.1001128095108,243.12983056867148,648.2149073205961,8
8,Spielberg,4.272793224300416,924.173484228682,216.29258326208776,567.6753443991444,9
