Round,Circuit,Track Length [km],Total Turning [deg],Turning Density [deg/km],Rank
6,Monte Carlo,3.272147244937188,1782.8329364101314,544.8510726919793,1
2,Shanghai,5.44299847994105,1886.5123642259146,346.59432134295696,2
7,Barcelona,4.611444403443182,1474.4314399748955,319.7331055046433,3
4,Miami Gardens,5.347934821565114,1634.9338830019194,305.7131280675263,4
3,Suzuka,5.771393074771153,1726.7084227517776,299.1839925614918,5
9,Silverstone,5.82699040438482,1605.3642206347206,275.50486773183655,6
5,Montréal,4.312438820927161,1142.4393466381061,264.91722991967805,7
1,Melbourne,5.240341470375203,1270.400634652743,242.42707118125716,8
8,Spielberg,4.29137635373818,924.5966709699906,215.4545755849595,9
